model_a,model_b,metric,mean_diff_a_minus_b,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm
RandomForest,SVR,rmse,-0.08161914553743843,-4.117228650671709,1.3731838083144334e-32,1.7763568394002505e-15,1.6203568938110313e-30,2.717825964282383e-13
RandomForest,MLP,rmse,-0.05743386778615665,-1.3263310677241185,1.6202877717102578e-12,1.7763568394002505e-15,7.777381304209237e-11,2.717825964282383e-13
ExtraTrees,Bagging,rmse,-0.025866891967422603,-2.7293032609696413,1.5267066538424931e-24,1.7763568394002505e-15,1.5114395873040681e-22,2.717825964282383e-13
ExtraTrees,DecisionTree,rmse,-0.1351021428190022,-6.336373715916545,1.98564270192489e-41,1.7763568394002505e-15,2.581335512502357e-39,2.717825964282383e-13
ExtraTrees,LinearRegression,rmse,-0.01691856432490253,-1.2703363623194055,6.257805250285477e-12,1.3535839116229909e-12,2.5657001526170453e-10,6.226485993465758e-11
ExtraTrees,Ridge,rmse,-0.01692383972606653,-1.2760687245816078,5.445239646930693e-12,1.1368683772161603e-12,2.341453048180198e-10,5.5706550483591855e-11
ExtraTrees,Lasso,rmse,-0.01636191956034143,-1.3439846486355274,1.0619731223737062e-12,9.769962616701378e-14,5.734654860818013e-11,5.95967719618784e-12
ExtraTrees,ElasticNet,rmse,-0.016402244597747622,-1.3510112937574688,8.980381911680303e-13,4.440892098500626e-14,5.039167418104285e-11,2.7977620220553945e-12
ExtraTrees,HuberRegressor,rmse,-0.0169228271823643,-1.27217000712746,5.985383348261115e-12,1.1368683772161603e-12,2.5138610062696687e-10,5.5706550483591855e-11
ExtraTrees,KNN,rmse,-0.4287839920531162,-13.908183629914324,5.8438537347792186e-58,1.7763568394002505e-15,8.882657676864412e-56,2.717825964282383e-13
ExtraTrees,SVR,rmse,-0.08048022830897626,-4.292273053635563,1.9831075136494414e-33,1.7763568394002505e-15,2.37972901637933e-31,2.717825964282383e-13
ExtraTrees,MLP,rmse,-0.056294950557694484,-1.2798935644247498,4.963104146923457e-12,1.7763568394002505e-15,2.183765824646321e-10,2.717825964282383e-13
Bagging,DecisionTree,rmse,-0.1092352508515796,-5.334404953091693,7.231680563479423e-38,1.7763568394002505e-15,9.328867926888456e-36,2.717825964282383e-13
Bagging,LinearRegression,rmse,0.008948327642520076,0.4868460792602229,0.0011886130163748774,0.0014846473444478647,0.026704002770355208,0.03292477540525418
Bagging,Ridge,rmse,0.008943052241356076,0.48796254012364937,0.001161043598711096,0.0014315119741414861,0.026704002770355208,0.03292477540525418
Bagging,Lasso,rmse,0.009504972407081178,0.5390260357194119,0.0003864511703269099,0.0007261627070427323,0.009751583172980926,0.017427904969025576
Bagging,ElasticNet,rmse,0.009464647369674983,0.5403834088143642,0.00037506089126849713,0.0006207713421488847,0.009751583172980926,0.015519283553722119
Bagging,HuberRegressor,rmse,0.008944064785058305,0.48700746181473253,0.0011845897181975726,0.0014315119741414861,0.026704002770355208,0.03292477540525418
